permutation|time
(0, 2, 1, 3, 4)|0:00:15.142998
(0, 2, 1, 3, 4)|0:00:15.233001
(0, 2, 1, 3, 4)|0:00:15.168055
(0, 2, 1, 3, 4)|0:00:15.249026
(0, 2, 1, 3, 4)|0:00:15.146000
(0, 2, 1, 3, 4)|0:00:15.419001
(0, 2, 1, 3, 4)|0:00:15.197000
(0, 2, 1, 3, 4)|0:00:15.224002
(0, 2, 1, 3, 4)|0:00:15.180001
(0, 2, 1, 3, 4)|0:00:15.225001
(0, 2, 1, 3, 4)|0:00:15.139001
(0, 2, 1, 3, 4)|0:00:15.229001
(0, 2, 1, 3, 4)|0:00:15.131998
(0, 2, 1, 4, 3)|0:00:15.188000
(0, 2, 1, 4, 3)|0:00:15.118000
(0, 2, 1, 4, 3)|0:00:15.123001
(0, 2, 1, 4, 3)|0:00:15.164000
(0, 2, 1, 4, 3)|0:00:15.171000
(0, 2, 1, 4, 3)|0:00:15.135002
(0, 2, 1, 4, 3)|0:00:15.185185
(0, 2, 1, 4, 3)|0:00:15.239999
(0, 2, 1, 4, 3)|0:00:15.271002
(0, 2, 1, 4, 3)|0:00:15.170018
(0, 2, 1, 4, 3)|0:00:15.064995
(0, 2, 1, 4, 3)|0:00:15.180000
(0, 2, 1, 4, 3)|0:00:15.250001
(0, 2, 1, 4, 3)|0:00:15.139000
(0, 2, 1, 4, 3)|0:00:15.181000
(0, 2, 1, 4, 3)|0:00:15.238018
(0, 2, 1, 4, 3)|0:00:15.220000
(0, 2, 1, 4, 3)|0:00:15.195001
(0, 2, 1, 4, 3)|0:00:15.139000
(0, 2, 1, 4, 3)|0:00:15.191001
(0, 2, 3, 1, 4)|0:00:15.795000
(0, 2, 3, 1, 4)|0:00:15.833000
(0, 2, 3, 1, 4)|0:00:15.741027
(0, 2, 3, 1, 4)|0:00:15.894000
(0, 2, 3, 1, 4)|0:00:15.819000
(0, 2, 3, 1, 4)|0:00:15.845001
(0, 2, 3, 1, 4)|0:00:15.860002
(0, 2, 3, 1, 4)|0:00:15.968999
(0, 2, 3, 1, 4)|0:00:15.896000
(0, 2, 3, 1, 4)|0:00:15.867000
(0, 2, 3, 1, 4)|0:00:15.844001
(0, 2, 3, 1, 4)|0:00:15.868000
(0, 2, 3, 1, 4)|0:00:15.821999
(0, 2, 3, 1, 4)|0:00:15.772002
(0, 2, 3, 1, 4)|0:00:15.850987
(0, 2, 3, 1, 4)|0:00:15.856001
(0, 2, 3, 1, 4)|0:00:15.817001
(0, 2, 3, 1, 4)|0:00:15.811999
(0, 2, 3, 1, 4)|0:00:15.896999
(0, 2, 3, 1, 4)|0:00:15.783000
(0, 2, 3, 4, 1)|0:00:24.195001
(0, 2, 3, 4, 1)|0:00:24.331001
(0, 2, 3, 4, 1)|0:00:24.180999
(0, 2, 3, 4, 1)|0:00:24.269000
